timestamp (Asia/Kolkata),heartrate
2020-12-06T08:28:33+05:30,115
2020-12-06T08:28:38+05:30,116
2020-12-06T08:28:41+05:30,115
2020-12-06T08:28:49+05:30,113
2020-12-06T08:28:52+05:30,111
2020-12-06T08:28:57+05:30,112
2020-12-06T08:29:05+05:30,112
2020-12-06T08:29:08+05:30,112
2020-12-06T08:29:11+05:30,111
2020-12-06T08:29:16+05:30,110
2020-12-06T08:32:36+05:30,116
2020-12-06T08:32:40+05:30,123
2020-12-06T08:32:42+05:30,121
2020-12-06T08:32:50+05:30,113
2020-12-06T08:32:52+05:30,114
2020-12-06T08:32:59+05:30,111
2020-12-06T08:33:02+05:30,110
2020-12-06T08:33:11+05:30,106
2020-12-06T08:33:12+05:30,106
2020-12-06T08:33:21+05:30,111
2020-12-06T08:33:23+05:30,112
2020-12-06T08:33:31+05:30,97
2020-12-06T08:33:33+05:30,91
2020-12-06T08:33:37+05:30,92
2020-12-06T08:33:46+05:30,98
2020-12-06T08:33:51+05:30,99
2020-12-06T08:33:55+05:30,100
2020-12-06T08:33:57+05:30,101
2020-12-06T08:34:02+05:30,103
2020-12-06T08:34:07+05:30,106
2020-12-06T08:34:12+05:30,112
2020-12-06T08:34:18+05:30,113
2020-12-06T08:34:32+05:30,114
2020-12-06T08:34:37+05:30,116
2020-12-06T08:34:45+05:30,129
2020-12-06T08:34:47+05:30,132
2020-12-06T08:34:52+05:30,140
2020-12-06T08:34:57+05:30,145
2020-12-06T08:35:11+05:30,154
2020-12-06T08:35:14+05:30,153
2020-12-06T08:35:19+05:30,155
2020-12-06T08:35:26+05:30,157
2020-12-06T08:35:31+05:30,160
2020-12-06T08:35:32+05:30,162
2020-12-06T08:36:10+05:30,166
2020-12-06T08:36:13+05:30,166
2020-12-06T08:36:17+05:30,166
2020-12-06T08:36:22+05:30,167
2020-12-06T08:36:29+05:30,167
2020-12-06T08:36:39+05:30,167
2020-12-06T08:36:45+05:30,168
2020-12-06T08:36:48+05:30,168
2020-12-06T08:36:55+05:30,169
2020-12-06T08:36:58+05:30,170
2020-12-06T08:37:25+05:30,170
2020-12-06T08:37:30+05:30,171
2020-12-06T08:37:34+05:30,171
2020-12-06T08:37:40+05:30,171
2020-12-06T08:37:46+05:30,171
2020-12-06T08:37:51+05:30,171
2020-12-06T08:37:52+05:30,171
2020-12-06T08:37:59+05:30,171
2020-12-06T08:38:05+05:30,172
2020-12-06T08:38:10+05:30,173
2020-12-06T08:38:16+05:30,174
2020-12-06T08:38:19+05:30,174
2020-12-06T08:38:22+05:30,174
2020-12-06T08:38:27+05:30,174
2020-12-06T08:38:32+05:30,175
2020-12-06T08:38:40+05:30,174
2020-12-06T08:38:44+05:30,174
2020-12-06T08:38:47+05:30,174
2020-12-06T08:38:54+05:30,174
2020-12-06T08:38:58+05:30,175
2020-12-06T08:39:04+05:30,174
2020-12-06T08:39:11+05:30,176
2020-12-06T08:39:12+05:30,175
2020-12-06T08:39:17+05:30,176
2020-12-06T08:39:26+05:30,175
2020-12-06T08:39:28+05:30,176
2020-12-06T08:39:32+05:30,177
2020-12-06T08:39:37+05:30,176
