time,gFx,gFy,gFz
2020-12-09 23:8:14.0360,-0.392,-0.666,-1.593,1.771
2020-12-09 23:8:14.0460,-0.518,-0.743,-1.624,1.86
2020-12-09 23:8:14.0570,-0.669,-0.837,-1.784,2.081
2020-12-09 23:8:14.0680,-0.819,-0.873,-2.093,2.411
2020-12-09 23:8:14.0780,-0.932,-0.842,-2.419,2.726
2020-12-09 23:8:14.0900,-0.97,-0.825,-2.654,2.944
2020-12-09 23:8:14.0980,-0.96,-0.897,-2.717,3.018
2020-12-09 23:8:14.1280,-0.663,-1.136,-1.868,2.285
2020-12-09 23:8:14.1280,-0.663,-1.136,-1.868,2.285
2020-12-09 23:8:14.1290,-0.663,-1.136,-1.868,2.285
2020-12-09 23:8:14.1360,-0.541,-1.089,-1.44,1.885
2020-12-09 23:8:14.1470,-0.402,-1.004,-1.031,1.494
2020-12-09 23:8:14.1570,-0.245,-0.908,-0.669,1.154
2020-12-09 23:8:14.1680,-0.066,-0.831,-0.374,0.914
2020-12-09 23:8:14.1780,0.112,-0.79,-0.156,0.813
2020-12-09 23:8:14.1890,0.262,-0.767,-0.009,0.811
2020-12-09 23:8:14.1980,0.382,-0.749,0.108,0.848
2020-12-09 23:8:14.2340,0.787,-0.839,0.226,1.172
2020-12-09 23:8:14.2340,0.787,-0.839,0.226,1.172
2020-12-09 23:8:14.2340,0.787,-0.839,0.226,1.172
2020-12-09 23:8:14.2370,0.855,-0.821,0.175,1.198
2020-12-09 23:8:14.2470,0.9,-0.778,0.065,1.191
2020-12-09 23:8:14.2570,0.897,-0.702,-0.065,1.141
2020-12-09 23:8:14.2680,0.864,-0.63,-0.181,1.085
2020-12-09 23:8:14.2780,0.812,-0.554,-0.237,1.011
2020-12-09 23:8:14.2880,0.732,-0.488,-0.263,0.918
2020-12-09 23:8:14.2980,0.633,-0.448,-0.275,0.823
2020-12-09 23:8:14.3330,0.178,-0.453,-0.458,0.668
2020-12-09 23:8:14.3340,0.178,-0.453,-0.458,0.668
2020-12-09 23:8:14.3340,0.178,-0.453,-0.458,0.668
2020-12-09 23:8:14.3370,0.045,-0.513,-0.599,0.79
2020-12-09 23:8:14.3470,-0.049,-0.569,-0.884,1.052
2020-12-09 23:8:14.3580,-0.073,-0.622,-1.25,1.398
2020-12-09 23:8:14.3680,0.023,-0.763,-1.603,1.775
2020-12-09 23:8:14.3780,0.119,-0.999,-1.927,2.174
2020-12-09 23:8:14.3890,-0.023,-1.139,-2.303,2.569
2020-12-09 23:8:14.3990,-0.443,-1.124,-2.686,2.945
2020-12-09 23:8:14.4330,-1.967,-0.413,-2.448,3.167
2020-12-09 23:8:14.4330,-1.967,-0.413,-2.448,3.167
2020-12-09 23:8:14.4330,-1.967,-0.413,-2.448,3.167
2020-12-09 23:8:14.4380,-1.919,-0.376,-1.944,2.757
2020-12-09 23:8:14.4470,-1.618,-0.363,-1.457,2.207
2020-12-09 23:8:14.4570,-1.167,-0.434,-1.123,1.677
2020-12-09 23:8:14.4690,-0.803,-0.515,-0.986,1.372
2020-12-09 23:8:14.4780,-0.644,-0.526,-0.95,1.263
2020-12-09 23:8:14.4890,-0.573,-0.511,-0.889,1.175
2020-12-09 23:8:14.4980,-0.509,-0.52,-0.759,1.051
2020-12-09 23:8:14.5350,-0.573,-0.435,-0.396,0.821
2020-12-09 23:8:14.5360,-0.573,-0.435,-0.396,0.821
2020-12-09 23:8:14.5360,-0.573,-0.435,-0.396,0.821
2020-12-09 23:8:14.5370,-0.67,-0.419,-0.385,0.879
2020-12-09 23:8:14.5480,-0.758,-0.404,-0.411,0.952
2020-12-09 23:8:14.5570,-0.818,-0.376,-0.379,0.977
2020-12-09 23:8:14.5680,-0.837,-0.345,-0.285,0.949
2020-12-09 23:8:14.5790,-0.84,-0.308,-0.17,0.911
2020-12-09 23:8:14.5890,-0.836,-0.263,-0.079,0.88
2020-12-09 23:8:14.5990,-0.822,-0.208,-0.036,0.849
2020-12-09 23:8:14.6330,-0.635,0.112,0.282,0.704
2020-12-09 23:8:14.6330,-0.635,0.112,0.282,0.704
2020-12-09 23:8:14.6330,-0.635,0.112,0.282,0.704
2020-12-09 23:8:14.6380,-0.549,0.233,0.367,0.7
2020-12-09 23:8:14.6480,-0.481,0.371,0.37,0.711
2020-12-09 23:8:14.6590,-0.418,0.499,0.305,0.719
2020-12-09 23:8:14.6680,-0.355,0.62,0.195,0.741
2020-12-09 23:8:14.6790,-0.292,0.714,0.079,0.775
2020-12-09 23:8:14.6890,-0.219,0.751,-0.025,0.783
2020-12-09 23:8:14.6990,-0.158,0.719,-0.116,0.745
2020-12-09 23:8:14.7340,-0.187,0.299,-0.428,0.555
2020-12-09 23:8:14.7340,-0.187,0.299,-0.428,0.555
2020-12-09 23:8:14.7340,-0.187,0.299,-0.428,0.555
2020-12-09 23:8:14.7380,-0.126,0.054,-0.426,0.448
2020-12-09 23:8:14.7480,0.003,-0.194,-0.422,0.464
2020-12-09 23:8:14.7580,0.092,-0.426,-0.521,0.679
2020-12-09 23:8:14.7690,0.026,-0.631,-0.947,1.138
2020-12-09 23:8:14.7790,-0.186,-0.875,-1.661,1.887
2020-12-09 23:8:14.7890,-0.56,-1.058,-2.415,2.695
